"File","Offset","Pointers","Japanese","English","width","height","lineheight",,"English"
"RoboDesc.opb","0x2625","0x2 0x5f0 0x5f4","　人形都市が生み
出した最強のオー
トマン。人間に匹
敵する知能を持ち、
すべてのオートマ
ンを率いる指揮官
的役割を持つ。
　戦闘能力もケタ
違い。","　人形都市が生み
出した最強のオー
トマン。人間に匹
敵する知能を持ち、
すべてのオートマ
ンを率いる指揮官
的役割を持つ。
　戦闘能力もケタ
違い。",114,176,16,,"　人形都市が生み
出した最強のオー
トマン。人間に匹
敵する知能を持ち、
すべてのオートマ
ンを率いる指揮官
的役割を持つ。
　戦闘能力もケタ
違い。"
"RoboDesc.opb","0x26bc","0x1 0x60c","ゴッドフリードＧ４","Goddfried G4",-1,-1,16,,"Goddfried G4"
"RoboDesc.opb","0x26cf","0x1 0x610","ゴッドフリードＧ４","|Goddfried G4",124,16,16,,"Goddfried G4"
"RoboDesc.opb","0x26e2","0x1 0x61c","　世界で初めての
搭乗型（人が乗る
タイプ）人形とし
て知られるゴッド
フリードの後継機。
　生産されたのは、
約４０年ほど前。
　今や動くだけで
せいいっぱいの人
形だが、特別な改
造を施され蘇った。","　世界で初めての
搭乗型（人が乗る
タイプ）人形とし
て知られるゴッド
フリードの後継機。
　生産されたのは、
約４０年ほど前。
　今や動くだけで
せいいっぱいの人
形だが、特別な改
造を施され蘇った。",114,176,16,,"　世界で初めての
搭乗型（人が乗る
タイプ）人形とし
て知られるゴッド
フリードの後継機。
　生産されたのは、
約４０年ほど前。
　今や動くだけで
せいいっぱいの人
形だが、特別な改
造を施され蘇った。"
"RoboDesc.opb","0x27ad","0x1 0x620","　右上のレバーを
左右に動かすと、
腕を左右に振る。
　右下の歯車を回
すと、腕を上下に
動かす。
　隠されたボタン
（上）を押すと、
ミサイル発射。下
のボタンを押すと、
全身から放電。","  Upper-right lever: Swings the arms left and right.
  Lower-right gear: Moves the arms up and down.
  Hidden buttons: Top launches missiles. Bottom discharges electricity.",114,176,16,,"　右上のレバーを
左右に動かすと、
腕を左右に振る。
　右下の歯車を回
すと、腕を上下に
動かす。
　隠されたボタン
（上）を押すと、
ミサイル発射。下
のボタンを押すと、
全身から放電。"
"RoboDesc.opb","0x286a","0x1 0x638","ブルートラック","Blue Truck",-1,-1,16,,"Blue Truck"
"RoboDesc.opb","0x2879","0x3 0x63c 0x648 0x64c","ブルートラック","|Blue Truck",124,16,16,,"Blue Truck"
"RoboDesc.opb","0x2888","0x1 0x664","コマンドティーガー","Commando Tiger",-1,-1,16,,"Commando Tiger"
"RoboDesc.opb","0x289b","0x1 0x668","コマンドティーガー","|Commando Tiger",124,16,16,,"Commando Tiger"
"RoboDesc.opb","0x28ae","0x2 0x674 0x678","　ベルソン重工が
開発した世界初の
量産型マリオネー
ションギア。戦闘
に特化した軍事用
の人形だ。
　巨大な砲を搭載。
二足歩行により、
地形を選ばず戦闘
可能な汎用性の高
い兵器である。","　ベルソン重工が
開発した世界初の
量産型マリオネー
ションギア。戦闘
に特化した軍事用
の人形だ。
　巨大な砲を搭載。
二足歩行により、
地形を選ばず戦闘
可能な汎用性の高
い兵器である。",114,176,16,,"　ベルソン重工が
開発した世界初の
量産型マリオネー
ションギア。戦闘
に特化した軍事用
の人形だ。
　巨大な砲を搭載。
二足歩行により、
地形を選ばず戦闘
可能な汎用性の高
い兵器である。"
"RoboDesc.opb","0x296d","0x1 0x690","コマンドティーガーＪ","Commando Tiger J",-1,-1,16,,"Commando Tiger J"
"RoboDesc.opb","0x2982","0x1 0x694","コマンドティーガーＪ","|Commando Tiger J",124,16,16,,"Commando Tiger J"
"RoboDesc.opb","0x2997","0x2 0x6a0 0x6a4","　司令官用として
特別に強化された
コマンドティーガ
ー。装甲が倍増し、
小さな砲弾なら弾
き返すほどになっ
ている。また、砲
の口径も大きくな
り、破壊力が増し
た。","　司令官用として
特別に強化された
コマンドティーガ
ー。装甲が倍増し、
小さな砲弾なら弾
き返すほどになっ
ている。また、砲
の口径も大きくな
り、破壊力が増し
た。",114,176,16,,"　司令官用として
特別に強化された
コマンドティーガ
ー。装甲が倍増し、
小さな砲弾なら弾
き返すほどになっ
ている。また、砲
の口径も大きくな
り、破壊力が増し
た。"
"RoboDesc.opb","0x2a40","0x1 0x6bc","大砲人形パットン","Artillery Puppet Patton",-1,-1,16,,"Artillery Puppet Patton"
"RoboDesc.opb","0x2a51","0x1 0x6c0","大砲人形パットン","|Artillery Puppet Patton",124,16,16,,"Artillery Puppet Patton"
"RoboDesc.opb","0x2a62","0x1 0x6cc","　３連装砲を搭載
した武装人形。
　非常に戦闘的な
人形のため、せめ
て外見はかわいく、
という意図でデザ
インされている。
コマンドティーガ
ーのモデルになっ
たといわれている。
　製造は鉄工房。","　３連装砲を搭載
した武装人形。
　非常に戦闘的な
人形のため、せめ
て外見はかわいく、
という意図でデザ
インされている。
コマンドティーガ
ーのモデルになっ
たといわれている。
　製造は鉄工房。",114,176,16,,"　３連装砲を搭載
した武装人形。
　非常に戦闘的な
人形のため、せめ
て外見はかわいく、
という意図でデザ
インされている。
コマンドティーガ
ーのモデルになっ
たといわれている。
　製造は鉄工房。"
"RoboDesc.opb","0x2b29","0x1 0x6d0","　ボタンを押すと、
砲を発射。
　ダイヤルを回す
と、砲塔を回転さ
せる。","  Buttons: Press to fire the cannons.
  Dial: Turn to rotate the turret.",114,176,16,,"　ボタンを押すと、
砲を発射。
　ダイヤルを回す
と、砲塔を回転さ
せる。"
"RoboDesc.opb","0x2b74","0x1 0x6e8","アサルト人形ガルフ","Assault Puppet Gulf",-1,-1,16,,"Assault Puppet Gulf"
"RoboDesc.opb","0x2b87","0x1 0x6ec","アサルト人形ガルフ","|Assault Puppet Gulf",124,16,16,,"Assault Puppet Gulf"
"RoboDesc.opb","0x2b9a","0x1 0x6f8","　/c5アサルトライフ
ル/c3を持つ人形。フ
ルオート射撃が可
能で、引き金を引
いている間、連射
を続ける。
　また、高い破壊
力を持つ大型ミサ
イル“/c5超兵器バル
チャー/c3”を搭載し
ている。","　/c5アサルトライフ
ル/c3を持つ人形。フ
ルオート射撃が可
能で、引き金を引
いている間、連射
を続ける。
　また、高い破壊
力を持つ大型ミサ
イル“/c5超兵器バル
チャー/c3”を搭載し
ている。",114,176,16,,"　/c5アサルトライフ
ル/c3を持つ人形。フ
ルオート射撃が可
能で、引き金を引
いている間、連射
を続ける。
　また、高い破壊
力を持つ大型ミサ
イル“/c5超兵器バル
チャー/c3”を搭載し
ている。"
"RoboDesc.opb","0x2c5d","0x1 0x6fc","　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3","  When the bullets run out, a new cartridge will appear. You can shoot again once you put it in place.
  Button: Readies the Super Weapon. Push buttons 1-5 in order to fire.
/c7  Morph Limit: 3/c3",114,176,16,,"　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3"
"RoboDesc.opb","0x2d24","0x1 0x714","アサルト人形ガルフＢ","Assault Puppet Gulf-B",-1,-1,16,,"Assault Puppet Gulf-B"
"RoboDesc.opb","0x2d39","0x1 0x718","アサルト人形ガルフＢ","|Assault Puppet Gulf-B",124,16,16,,"Assault Puppet Gulf-B"
"RoboDesc.opb","0x2d4e","0x1 0x724","　アサルト人形の
強化型。アサルト
ライフルの破壊力
が向上し、手のつ
けられない強さと
なった。
　超兵器バルチャ
ーの爆破範囲も、
わずかに広がって
いる。","　アサルト人形の
強化型。アサルト
ライフルの破壊力
が向上し、手のつ
けられない強さと
なった。
　超兵器バルチャ
ーの爆破範囲も、
わずかに広がって
いる。",114,176,16,,"　アサルト人形の
強化型。アサルト
ライフルの破壊力
が向上し、手のつ
けられない強さと
なった。
　超兵器バルチャ
ーの爆破範囲も、
わずかに広がって
いる。"
"RoboDesc.opb","0x2def","0x1 0x728","　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3","  When the bullets run out, a new cartridge will appear. You can shoot again once you put it in place.
  Button: Readies the Super Weapon. Push buttons 1-5 in order to fire.
/c7  Morph Limit: 3/c3",114,176,16,,"　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3"
"RoboDesc.opb","0x2eb6","0x1 0x740","アサルト人形ガルフＸ","Assault Puppet Gulf-X",-1,-1,16,,"Assault Puppet Gulf-X"
"RoboDesc.opb","0x2ecb","0x1 0x744","アサルト人形ガルフＸ","|Assault Puppet Gulf-X",124,16,16,,"Assault Puppet Gulf-X"
"RoboDesc.opb","0x2ee0","0x1 0x750","　アサルト人形の
最終形。その強さ
は、あらゆる人形
の中でも最高レベ
ル。","　アサルト人形の
最終形。その強さ
は、あらゆる人形
の中でも最高レベ
ル。",114,176,16,,"　アサルト人形の
最終形。その強さ
は、あらゆる人形
の中でも最高レベ
ル。"
"RoboDesc.opb","0x2f2d","0x1 0x754","　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3","  When the bullets run out, a new cartridge will appear. You can shoot again once you put it in place.
  Button: Readies the Super Weapon. Push buttons 1-5 in order to fire.
/c7  Morph Limit: 3/c3",114,176,16,,"　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3"
"RoboDesc.opb","0x2ff4","0x1 0x76c","斧人形ギール","Axe Puppet Gille",-1,-1,16,,"Axe Puppet Gille"
"RoboDesc.opb","0x3001","0x1 0x770","斧人形ギール","|Axe Puppet Gille",124,16,16,,"Axe Puppet Gille"
"RoboDesc.opb","0x300e","0x1 0x77c","　/c5巨大な斧/c3を武器
とする人形。モン
スタートラックか
ら人型へと変形す
る。振り下ろしの
一撃は凄まじい破
壊力を持つ。斧を
回転させることで
/c5衝撃波/c3を発生させ、
遠距離の敵を攻撃
することも可能。","　/c5巨大な斧/c3を武器
とする人形。モン
スタートラックか
ら人型へと変形す
る。振り下ろしの
一撃は凄まじい破
壊力を持つ。斧を
回転させることで
/c5衝撃波/c3を発生させ、
遠距離の敵を攻撃
することも可能。",114,176,16,,"　/c5巨大な斧/c3を武器
とする人形。モン
スタートラックか
ら人型へと変形す
る。振り下ろしの
一撃は凄まじい破
壊力を持つ。斧を
回転させることで
/c5衝撃波/c3を発生させ、
遠距離の敵を攻撃
することも可能。"
"RoboDesc.opb","0x30e1","0x1 0x780","/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。","/c5Car/c3:
  Shift stick: Controls speed.
/c5Human Form/c3:
  Left lever: Lower and release to swing the axe.
  Spinner: Continually turn to unleash an air storm.",114,176,16,,"/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。"
"RoboDesc.opb","0x31ae","0x1 0x798","大斧人形ギール改","Greataxe Puppet Nu-Gille",-1,-1,16,,"New Greataxe Puppet Gille"
"RoboDesc.opb","0x31bf","0x1 0x79c","大斧人形ギール改","|Greataxe Puppet Nu-Gille",124,16,16,,"New Greataxe Puppet Gille"
"RoboDesc.opb","0x31d0","0x1 0x7a8","　斧人形の強化型。
斧の破壊力が高ま
っただけでなく、
小型ミサイル・ス
パローホークの搭
載数が増え、扱い
やすい人形となっ
た。","　斧人形の強化型。
斧の破壊力が高ま
っただけでなく、
小型ミサイル・ス
パローホークの搭
載数が増え、扱い
やすい人形となっ
た。",114,176,16,,"　斧人形の強化型。
斧の破壊力が高ま
っただけでなく、
小型ミサイル・ス
パローホークの搭
載数が増え、扱い
やすい人形となっ
た。"
"RoboDesc.opb","0x3255","0x1 0x7ac","/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。","/c5Car/c3:
  Shift stick: Controls speed.
/c5Human Form/c3:
  Left lever: Lower and release to swing the axe.
  Spinner: Continually turn to unleash an air storm.",114,176,16,,"/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。"
"RoboDesc.opb","0x3322","0x1 0x7c4","戦斧人形ダルギール","Battleaxe Puppet Dalgille",-1,-1,16,,"Battleaxe Puppet Dalgille"
"RoboDesc.opb","0x3335","0x1 0x7c8","戦斧人形ダルギール","|Battleaxe Puppet Dalgille",124,16,16,,"Battleaxe Puppet Dalgille"
"RoboDesc.opb","0x3348","0x1 0x7d4","　斧人形の最終形。
斧の破壊力が極限
まで強化されてい
る。","　斧人形の最終形。
斧の破壊力が極限
まで強化されてい
る。",114,176,16,,"　斧人形の最終形。
斧の破壊力が極限
まで強化されてい
る。"
"RoboDesc.opb","0x3385","0x1 0x7d8","/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。","/c5Car/c3:
  Shift stick: Controls speed.
/c5Human Form/c3:
  Left lever: Lower and release to swing the axe.
  Spinner: Continually turn to unleash an air storm.",114,176,16,,"/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。"
"RoboDesc.opb","0x3452","0x1 0x7f0","投刃人形ベルメラン","Edgehurl Puppet Belmerang",-1,-1,16,,"Edgehurl Puppet Belmerang"
"RoboDesc.opb","0x3465","0x1 0x7f4","投刃人形ベルメラン","|Edgehurl Puppet Belmerang",124,16,16,,"Edgehurl Puppet Belmerang"
"RoboDesc.opb","0x3478","0x1 0x800","　/c5ブーメラン/c3を武
器とする人形。/c5投
げる/c3こともでき、
剣のように/c5斬る/c3こ
とも可能。車形態
の性能も高い。
　冷却性能が低い
のが欠点で、それ
を補うために特別
な/c5冷却装置/c3が取り
付けられている。","　/c5ブーメラン/c3を武
器とする人形。/c5投
げる/c3こともでき、
剣のように/c5斬る/c3こ
とも可能。車形態
の性能も高い。
　冷却性能が低い
のが欠点で、それ
を補うために特別
な/c5冷却装置/c3が取り
付けられている。",114,176,16,,"　/c5ブーメラン/c3を武
器とする人形。/c5投
げる/c3こともでき、
剣のように/c5斬る/c3こ
とも可能。車形態
の性能も高い。
　冷却性能が低い
のが欠点で、それ
を補うために特別
な/c5冷却装置/c3が取り
付けられている。"
"RoboDesc.opb","0x3553","0x1 0x804","　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。","  Lower-left lever: Moves the arm. Move quickly from left to right to throw a boomerang.
  Spinner: Turn to attack continuously.
  Button: Press and hold to activate the cooling device.",114,176,16,,"　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。"
"RoboDesc.opb","0x3608","0x1 0x81c","投刃人形エルメラン","Edgehurl Puppet Elmerang",-1,-1,16,,"Edgehurl Puppet Elmerang"
"RoboDesc.opb","0x361b","0x1 0x820","投刃人形エルメラン","|Edgehurl Puppet Elmerang",124,16,16,,"Edgehurl Puppet Elmerang"
"RoboDesc.opb","0x362e","0x1 0x82c","　投刃人形の強化
型。ブーメランの
破壊力が激増。中
距離では無敵の強
さを発揮する。
　ただし、冷却装
置の性能が微妙に
低下した。","　投刃人形の強化
型。ブーメランの
破壊力が激増。中
距離では無敵の強
さを発揮する。
　ただし、冷却装
置の性能が微妙に
低下した。",114,176,16,,"　投刃人形の強化
型。ブーメランの
破壊力が激増。中
距離では無敵の強
さを発揮する。
　ただし、冷却装
置の性能が微妙に
低下した。"
"RoboDesc.opb","0x36b5","0x1 0x830","　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。","  Lower-left lever: Moves the arm. Move quickly from left to right to throw a boomerang.
  Spinner: Turn to attack continuously.
  Button: Press and hold to activate the cooling device.",114,176,16,,"　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。"
"RoboDesc.opb","0x376a","0x1 0x848","投刃人形ギルメラン","Edgehurl Puppet Gilmerang",-1,-1,16,,"Edgehurl Puppet Gilmerang"
"RoboDesc.opb","0x377d","0x1 0x84c","投刃人形ギルメラン","|Edgehurl Puppet Gilmerang",124,16,16,,"Edgehurl Puppet Gilmerang"
"RoboDesc.opb","0x3790","0x1 0x858","　投刃人形の完成
形。ブーメランの
破壊力がさらに増
した。
　また、冷却装置
の性能も改善され
ている。","　投刃人形の完成
形。ブーメランの
破壊力がさらに増
した。
　また、冷却装置
の性能も改善され
ている。",114,176,16,,"　投刃人形の完成
形。ブーメランの
破壊力がさらに増
した。
　また、冷却装置
の性能も改善され
ている。"
"RoboDesc.opb","0x37fb","0x1 0x85c","　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。","  Lower-left lever: Moves the arm. Move quickly from left to right to throw a boomerang.
  Spinner: Turn to attack continuously.
  Button: Press and hold to activate the cooling device.",114,176,16,,"　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。"
"RoboDesc.opb","0x38b0","0x1 0x874","人形重機ルクサー","Industrial Puppet Luxer",-1,-1,16,,"Heavy Machinery Puppet Luxer"
"RoboDesc.opb","0x38c1","0x1 0x878","人形重機ルクサー","|Industrial Puppet Luxer",124,16,16,,"Heavy Machinery Puppet Luxer"
