File,Offset,Pointers,Japanese,English,width,height,lineheight,
opb/PartsDesc.opb,0x19e2,0x1 0x71c,オーバーヒート後の冷却時間を短縮,Moderately shortens cooling time after overheating.,240,64,16,
opb/PartsDesc.opb,0x1a03,0x1 0x720,　人形の身体を冷却するための装置。,　Equipment for cooling a mech's body.,240,64,16,
opb/PartsDesc.opb,0x1a26,0x1 0x72c,冷凍装置,Freezer,102,14,14,
opb/PartsDesc.opb,0x1a2f,0x1 0x730,"オーバーヒート後の冷却時間を
大きく短縮",Greatly shortens cooling time after overheating.,240,64,16,
opb/PartsDesc.opb,0x1a58,0x1 0x734,　人形の身体を冷却するための装置。,　Equipment for cooling a mech's body.,240,64,16,
opb/PartsDesc.opb,0x1a7b,0x1 0x740,予備弾薬,Spare Ammo,102,14,14,
opb/PartsDesc.opb,0x1a84,0x1 0x744,"弾薬の搭載数＋１
/c5※残弾に限りのある武器のみ。
　超兵器は含まない。/c3","Ammunition quantity +1
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3",240,64,16,
opb/PartsDesc.opb,0x1acf,0x1 0x748,　弾薬庫を拡張するための部品。,　A part for extending the amount of ammunition in the mech's inventory.,240,64,16,
opb/PartsDesc.opb,0x1aee,0x1 0x754,新型予備弾薬,Spare Ammo mk II,102,14,14,
opb/PartsDesc.opb,0x1afb,0x1 0x758,"弾薬の搭載数＋２
/c5※残弾に限りのある武器のみ。
　超兵器は含まない。/c3","Ammunition quantity +2
/c5* Only applies to weapons with limited ammunition. Does not include Super Weapons./c3",240,64,16,
opb/PartsDesc.opb,0x1b46,0x1 0x75c,　弾薬庫を拡張するための部品。,　A part for extending the amount of ammunition in the mech's inventory.,240,64,16,
opb/PartsDesc.opb,0x1b65,0x1 0x768,クロム鋼線Ｖ１,Chrome Wire V1,102,14,14,
opb/PartsDesc.opb,0x1b74,0x1 0x76c,投げつけダメージ＋１０％,Throwing damage +10%,240,64,16,
opb/PartsDesc.opb,0x1b8d,0x1 0x770,"　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。",　A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.,240,64,16,
opb/PartsDesc.opb,0x1c00,0x1 0x77c,クロム鋼線Ｖ２,Chrome Wire V2,102,14,14,
opb/PartsDesc.opb,0x1c0f,0x1 0x780,投げつけダメージ＋１5％,Throwing damage +15%,240,64,16,
opb/PartsDesc.opb,0x1c28,0x1 0x784,"　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。",　A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.,240,64,16,
opb/PartsDesc.opb,0x1c9b,0x1 0x790,クロム鋼線Ｖ３,Chrome Wire V3,102,14,14,
opb/PartsDesc.opb,0x1caa,0x1 0x794,投げつけダメージ＋２5％,Throwing damage +25%,240,64,16,
opb/PartsDesc.opb,0x1cc3,0x1 0x798,"　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。",　A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.,240,64,16,
opb/PartsDesc.opb,0x1d36,0x1 0x7a4,クロム鋼線Ｖ4,Chrome Wire V4,102,14,14,
opb/PartsDesc.opb,0x1d45,0x1 0x7a8,投げつけダメージ＋4０％,Throwing damage +40%,240,64,16,
opb/PartsDesc.opb,0x1d5e,0x1 0x7ac,"　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。",　A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.,240,64,16,
opb/PartsDesc.opb,0x1dd1,0x1 0x7b8,クロム鋼線Ｖ5,Chrome Wire V5,102,14,14,
opb/PartsDesc.opb,0x1de0,0x1 0x7bc,投げつけダメージ＋5０％,Throwing damage +50%,240,64,16,
opb/PartsDesc.opb,0x1df9,0x1 0x7c0,"　人形の手足を動かすための金属線。強
度の高いものを使用することで、重量の
あるものを持ち上げた時の安定度が増す。",　A metal wire for moving the limbs of a mech. Using high strength materials increases stability when lifting heavy items.,240,64,16,
opb/PartsDesc.opb,0x1e6c,0x1 0x7cc,神鉄歯車Ｖ１,Godrion Gear V1,102,14,14,
opb/PartsDesc.opb,0x1e79,0x1 0x7d0,斬撃、打撃ダメージ＋１０％,"Slashing, striking damage +10%",240,64,16,
opb/PartsDesc.opb,0x1e94,0x1 0x7d4,"　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。",　A gear made from the precious metal {Godrion}. Increases a mech's strength.,240,64,16,
opb/PartsDesc.opb,0x1edb,0x1 0x7e0,神鉄歯車Ｖ２,Godrion Gear V2,102,14,14,
opb/PartsDesc.opb,0x1ee8,0x1 0x7e4,斬撃、打撃ダメージ＋１5％,"Slashing, striking damage +15%",240,64,16,
opb/PartsDesc.opb,0x1f03,0x1 0x7e8,"　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。",　A gear made from the rare metal {Godrion}. Increases a mech's strength.,240,64,16,
opb/PartsDesc.opb,0x1f4a,0x1 0x7f4,神鉄歯車Ｖ３,Godrion Gear V3,102,14,14,
opb/PartsDesc.opb,0x1f57,0x1 0x7f8,斬撃、打撃ダメージ＋２０％,"Slashing, striking damage +20%",240,64,16,
opb/PartsDesc.opb,0x1f72,0x1 0x7fc,"　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。",　A gear made from the rare metal {Godrion}. Increases a mech's strength.,240,64,16,
opb/PartsDesc.opb,0x1fb9,0x1 0x808,神鉄歯車Ｖ4,Godrion Gear V4,102,14,14,
opb/PartsDesc.opb,0x1fc6,0x1 0x80c,斬撃、打撃ダメージ＋３０％,"Slashing, striking damage +30%",240,64,16,
opb/PartsDesc.opb,0x1fe1,0x1 0x810,"　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。",　A gear made from the rare metal {Godrion}. Increases a mech's strength.,240,64,16,
opb/PartsDesc.opb,0x2028,0x1 0x81c,神鉄歯車Ｖ5,Godrion Gear V5,102,14,14,
opb/PartsDesc.opb,0x2035,0x1 0x820,斬撃、打撃ダメージ＋4０％,"Slashing, striking damage +40%",240,64,16,
opb/PartsDesc.opb,0x2050,0x1 0x824,"　希少金属“神鉄（しんてつ）”で作ら
れた歯車。人形の力を増大させる。",　A gear made from the rare metal {Godrion}. Increases a mech's strength.,240,64,16,
opb/PartsDesc.opb,0x2097,0x1 0x830,白銀鋼弾Ｖ１,Silver Bullet V1,102,14,14,
opb/PartsDesc.opb,0x20a4,0x1 0x834,射撃ダメージ＋5％,Shooting damage +5%,240,64,16,
opb/PartsDesc.opb,0x20b7,0x1 0x838,"　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.",240,64,16,
opb/PartsDesc.opb,0x20fc,0x1 0x844,白銀鋼弾Ｖ２,Silver Bullet V2,102,14,14,
opb/PartsDesc.opb,0x2109,0x1 0x848,射撃ダメージ＋１０％,Shooting damage +10%,240,64,16,
opb/PartsDesc.opb,0x211e,0x1 0x84c,"　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.",240,64,16,
opb/PartsDesc.opb,0x2163,0x1 0x858,白銀鋼弾Ｖ３,Silver Bullet V3,102,14,14,
opb/PartsDesc.opb,0x2170,0x1 0x85c,射撃ダメージ＋１5％,Shooting damage +15%,240,64,16,
opb/PartsDesc.opb,0x2185,0x1 0x860,"　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.",240,64,16,
opb/PartsDesc.opb,0x21ca,0x1 0x86c,白銀鋼弾Ｖ4,Silver Bullet V4,102,14,14,
opb/PartsDesc.opb,0x21d7,0x1 0x870,射撃ダメージ＋２5％,Shooting damage +25%,240,64,16,
opb/PartsDesc.opb,0x21ec,0x1 0x874,"　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.",240,64,16,
opb/PartsDesc.opb,0x2231,0x1 0x880,白銀鋼弾Ｖ5,Silver Bullet V5,102,14,14,
opb/PartsDesc.opb,0x223e,0x1 0x884,射撃ダメージ＋３０％,Shooting damage +30%,240,64,16,
opb/PartsDesc.opb,0x2253,0x1 0x888,"　銀色に輝くレアメタル“白銀鋼”で弾
丸を包み、貫通力を増大させる。","　Bullets coated in a sparkling silvery metal, {Silver Steel} with increased penetration force.",240,64,16,
opb/PartsDesc.opb,0x2298,0x1 0x894,水晶振動機Ｖ１,Quartz Crystal V1,102,14,14,
opb/PartsDesc.opb,0x22a7,0x1 0x898,超兵器ダメージ＋１０％,Super Weapon damage +10%,240,64,16,
opb/PartsDesc.opb,0x22be,0x1 0x89c,"　超兵器のパワーを増幅する装置。

/c5※超兵器として扱われる武器は、人形の
　説明文に記載/c3",A device that amplifies the power of Super Weapons. /c5* The weapons that qualify as Super Weapons are listed in each mech's instructions./c3,240,64,16,
opb/PartsDesc.opb,0x231d,0x1 0x8a8,水晶振動機Ｖ２,Quartz Crystal V2,102,14,14,
opb/PartsDesc.opb,0x232c,0x1 0x8ac,超兵器ダメージ＋１5％,Super Weapon damage +15%,240,64,16,
opb/PartsDesc.opb,0x2343,0x1 0x8b0,"　超兵器のパワーを増幅する装置。

/c5※超兵器として扱われる武器は、人形の
　説明文に記載/c3",A device that amplifies the power of Super Weapons. /c5* The weapons that qualify as Super Weapons are listed in each mech's instructions./c3,240,64,16,
opb/PartsDesc.opb,0x23a2,0x1 0x8bc,水晶振動機Ｖ３,Quartz Crystal V3,102,14,14,
opb/PartsDesc.opb,0x23b1,0x1 0x8c0,超兵器ダメージ＋２5％,Super Weapon damage +25%,240,64,16,
opb/PartsDesc.opb,0x23c8,0x1 0x8c4,"　超兵器のパワーを増幅する装置。

/c5※超兵器として扱われる武器は、人形の
　説明文に記載/c3",A device that amplifies the power of Super Weapons. /c5* The weapons that qualify as Super Weapons are listed in each mech's instructions./c3,240,64,16,
opb/PartsDesc.opb,0x2427,0x1 0x8d0,水晶振動機Ｖ4,Quartz Crystal V4,102,14,14,
opb/PartsDesc.opb,0x2436,0x1 0x8d4,超兵器ダメージ＋３5％,Super Weapon damage +35%,240,64,16,
opb/PartsDesc.opb,0x244d,0x1 0x8d8,"　超兵器のパワーを増幅する装置。

/c5※超兵器として扱われる武器は、人形の
　説明文に記載/c3",A device that amplifies the power of Super Weapons. /c5* The weapons that qualify as Super Weapons are listed in each mech's instructions./c3,240,64,16,
opb/PartsDesc.opb,0x24ac,0x1 0x8e4,水晶振動機Ｖ5,Quartz Crystal V5,102,14,14,
opb/PartsDesc.opb,0x24bb,0x1 0x8e8,超兵器ダメージ＋5０％,Super Weapon damage +50%,240,64,16,
opb/PartsDesc.opb,0x24d2,0x1 0x8ec,"　超兵器のパワーを増幅する装置。

/c5※超兵器として扱われる武器は、人形の
　説明文に記載/c3",A device that amplifies the power of Super Weapons. /c5* The weapons that qualify as Super Weapons are listed in each mech's instructions./c3,240,64,16,
opb/PartsDesc.opb,0x2531,0x1 0x8f8,真鍮弦,Brass Bowstring,102,14,14,
opb/PartsDesc.opb,0x2538,0x1 0x8fc,"耐久力＋１5
弓のダメージが5％上昇
/c5※弓工房の人形のみ装備可能/c3","Stamina +15
Bow damage increased by 5%
/c5* Equippable only by Bow Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x257f,0x1 0x900,"　弓工房でのみ使われる特殊ワイヤー。
強度が高く、弓の破壊力を向上させる。",　A special wire used only at the Bow Workshop. Increases the strength and improves the destructive power of the bow.,240,64,16,
opb/PartsDesc.opb,0x25ca,0x1 0x90c,青銅弦,Bronze Bowstring,102,14,14,
opb/PartsDesc.opb,0x25d1,0x1 0x910,"耐久力＋３０
弓のダメージが１０％上昇
/c5※弓工房の人形のみ装備可能/c3","Stamina +30
Bow damage increased by 10%
/c5* Equippable only by Bow Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x261a,0x1 0x914,"　弓工房でのみ使われる特殊ワイヤー。
強度が高く、弓の破壊力を向上させる。",　A special wire used only at the Bow Workshop. Increases the strength and improves the destructive power of the bow.,240,64,16,
opb/PartsDesc.opb,0x2665,0x1 0x920,鋼鉄弦,Steel Bowstring,102,14,14,
opb/PartsDesc.opb,0x266c,0x1 0x924,"耐久力＋６０
弓のダメージが１5％上昇
/c5※弓工房の人形のみ装備可能/c3","Stamina +60
Bow damage increased by 15%
/c5* Equippable only by Bow Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x26b5,0x1 0x928,"　弓工房でのみ使われる特殊ワイヤー。
強度が高く、弓の破壊力を向上させる。",　A special wire used only at the Bow Workshop. Increases the strength and improves the destructive power of the bow.,240,64,16,
opb/PartsDesc.opb,0x2700,0x1 0x934,白銀弦,Silver Bowstring,102,14,14,
opb/PartsDesc.opb,0x2707,0x1 0x938,"耐久力＋１００
弓のダメージが２０％上昇
/c5※弓工房の人形のみ装備可能/c3","Stamina +100
Bow damage increased by 20%
/c5* Equippable only by Bow Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2752,0x1 0x93c,"　弓工房でのみ使われる特殊ワイヤー。
強度が高く、弓の破壊力を向上させる。",　A special wire used only at the Bow Workshop. Increases the strength and improves the destructive power of the bow.,240,64,16,
opb/PartsDesc.opb,0x279d,0x1 0x948,金剛弦,Mythril Bowstring,102,14,14,
opb/PartsDesc.opb,0x27a4,0x1 0x94c,"耐久力＋２００
弓のダメージが２5％上昇
/c5※弓工房の人形のみ装備可能/c3","Stamina +200
Bow damage increased by 25%
/c5* Equippable only by Bow Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x27ef,0x1 0x950,"　弓工房でのみ使われる特殊ワイヤー。
強度が高く、弓の破壊力を向上させる。",　A special wire used only at the Bow Workshop. Increases the strength and improves the destructive power of the bow.,240,64,16,
opb/PartsDesc.opb,0x283a,0x1 0x95c,真鍮振り子,Brass Pendulum,102,14,14,
opb/PartsDesc.opb,0x2845,0x1 0x960,"耐久力＋２０
打撃、斬撃ダメージが１０％上昇
/c5※円工房の人形にのみ装備可能/c3","Stamina +20
Striking, slashing damage increased by 10%
/c5* Equippable only by Circle Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2896,0x1 0x964,"　円工房でのみ使われる部品。正確なリ
ズムで装置を動かすことができる。",　A part used only at the Circle Workshop. Regulates the speed of the equipment allowing the mech to move.,240,64,16,
opb/PartsDesc.opb,0x28dd,0x1 0x970,青銅振り子,Bronze Pendulum,102,14,14,
opb/PartsDesc.opb,0x28e8,0x1 0x974,"耐久力＋4０
打撃、斬撃ダメージが１5％上昇
/c5※円工房の人形にのみ装備可能/c3","Stamina +40
Striking, slashing damage increased by 15%
/c5* Equippable only by Circle Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2939,0x1 0x978,"　円工房でのみ使われる部品。正確なリ
ズムで装置を動かすことができる。",　A part used only at the Circle Workshop. Regulates the speed of the equipment allowing the mech to move.,240,64,16,
opb/PartsDesc.opb,0x2980,0x1 0x984,鋼鉄振り子,Steel Pendulum,102,14,14,
opb/PartsDesc.opb,0x298b,0x1 0x988,"耐久力＋８０
打撃、斬撃ダメージが２０％上昇
/c5※円工房の人形にのみ装備可能/c3","Stamina +80
Striking, slashing damage increased by 20%
/c5* Equippable only by Circle Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x29dc,0x1 0x98c,"　円工房でのみ使われる部品。正確なリ
ズムで装置を動かすことができる。",　A part used only at the Circle Workshop. Regulates the speed of the equipment allowing the mech to move.,240,64,16,
opb/PartsDesc.opb,0x2a23,0x1 0x998,白銀振り子,Silver Pendulum,102,14,14,
opb/PartsDesc.opb,0x2a2e,0x1 0x99c,"耐久力＋１5０
打撃、斬撃ダメージが３０％上昇
/c5※円工房の人形にのみ装備可能/c3","Stamina +150
Striking, slashing damage increased by 30%
/c5* Equippable only by Circle Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2a81,0x1 0x9a0,"　円工房でのみ使われる部品。正確なリ
ズムで装置を動かすことができる。",　A part used only at the Circle Workshop. Regulates the speed of the equipment allowing the mech to move.,240,64,16,
opb/PartsDesc.opb,0x2ac8,0x1 0x9ac,金剛振り子,Mythril Pendulum,102,14,14,
opb/PartsDesc.opb,0x2ad3,0x1 0x9b0,"耐久力＋３００
打撃、斬撃ダメージが4０％上昇
/c5※円工房の人形にのみ装備可能/c3","Stamina +300
Striking, slashing damage increased by 40%
/c5* Equippable only by Circle Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2b26,0x1 0x9b4,"　円工房でのみ使われる部品。正確なリ
ズムで装置を動かすことができる。",　A part used only at the Circle Workshop. Regulates the speed of the equipment allowing the mech to move.,240,64,16,
opb/PartsDesc.opb,0x2b6d,0x1 0x9c0,真鍮独楽,Brass Spintop,102,14,14,
opb/PartsDesc.opb,0x2b76,0x1 0x9c4,"耐久力＋１5
手裏剣、剣の斬撃ダメージが１０％上昇
/c5※忍工房の人形のみ装備可能/c3","Stamina +15
Shuriken, sword damage increased by 10%
/c5* Equippable only by Shinobi Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2bcb,0x1 0x9c8,"　忍工房でのみ使われる独楽型の歯車。
普通の歯車より厚みがあり、強度も高い。",　A gear in the shape of a spinning top used only at the Shinobi Workshop. Thicker and stronger than normal gears.,240,64,16,
opb/PartsDesc.opb,0x2c18,0x1 0x9d4,青銅独楽,Bronze Spintop,102,14,14,
opb/PartsDesc.opb,0x2c21,0x1 0x9d8,"耐久力＋３０
手裏剣、剣の斬撃ダメージが１5％上昇
/c5※忍工房の人形のみ装備可能/c3","Stamina +30
Shuriken, sword damage increased by 15%
/c5* Equippable only by Shinobi Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2c76,0x1 0x9dc,"　忍工房でのみ使われる独楽型の歯車。
普通の歯車より厚みがあり、強度も高い。",　A gear in the shape of a spinning top used only at the Shinobi Workshop. Thicker and stronger than normal gears.,240,64,16,
opb/PartsDesc.opb,0x2cc3,0x1 0x9e8,鋼鉄独楽,Steel Spintop,102,14,14,
opb/PartsDesc.opb,0x2ccc,0x1 0x9ec,"耐久力＋６０
手裏剣、剣の斬撃ダメージが２０％上昇
/c5※忍工房の人形のみ装備可能/c3","Stamina +60
Shuriken, sword damage increased by 20%
/c5* Equippable only by Shinobi Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2d21,0x1 0x9f0,"　忍工房でのみ使われる独楽型の歯車。
普通の歯車より厚みがあり、強度も高い。",　A gear in the shape of a spinning top used only at the Shinobi Workshop. Thicker and stronger than normal gears.,240,64,16,
opb/PartsDesc.opb,0x2d6e,0x1 0x9fc,白銀独楽,Silver Spintop,102,14,14,
opb/PartsDesc.opb,0x2d77,0x1 0xa00,"耐久力＋１００
手裏剣、剣の斬撃ダメージが２5％上昇
/c5※忍工房の人形のみ装備可能/c3","Stamina +100
Shuriken, sword damage increased by 25%
/c5* Equippable only by Shinobi Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2dce,0x1 0xa04,"　忍工房でのみ使われる独楽型の歯車。
普通の歯車より厚みがあり、強度も高い。",　A gear in the shape of a spinning top used only at the Shinobi Workshop. Thicker and stronger than normal gears.,240,64,16,
opb/PartsDesc.opb,0x2e1b,0x1 0xa10,金剛独楽,Mythril Spintop,102,14,14,
opb/PartsDesc.opb,0x2e24,0x1 0xa14,"耐久力＋２００
手裏剣、剣の斬撃ダメージが３０％上昇
/c5※忍工房の人形のみ装備可能/c3","Stamina +200
Shuriken, sword damage increased by 30%
/c5* Equippable only by Shinobi Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2e7b,0x1 0xa18,"　忍工房でのみ使われる独楽型の歯車。
普通の歯車より厚みがあり、強度も高い。",　A gear in the shape of a spinning top used only at the Shinobi Workshop. Thicker and stronger than normal gears.,240,64,16,
opb/PartsDesc.opb,0x2ec8,0x1 0xa24,真鍮チップ,Brass Chip,102,14,14,
opb/PartsDesc.opb,0x2ed3,0x1 0xa28,"耐久力＋１5
打撃、斬撃ダメージが１０％上昇
/c5※特工房の人形のみ装備可能/c3","Stamina +15
Striking, slashing damage increased by 10%
/c5* Equippable only by Special Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2f22,0x1 0xa2c,"　特工房でのみ使われる特殊な電子部品。
人形の性能を飛躍的に向上させる。",　Unique electronic component used only at the Special Workshop. Dramatically improves a mech's performance.,240,64,16,
opb/PartsDesc.opb,0x2f6b,0x1 0xa38,青銅チップ,Bronze Chip,102,14,14,
opb/PartsDesc.opb,0x2f76,0x1 0xa3c,"耐久力＋３０
打撃、斬撃ダメージが１5％上昇
/c5※特工房の人形のみ装備可能/c3","Stamina +30
Striking, slashing damage increased by 15%
/c5* Equippable only by Special Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x2fc5,0x1 0xa40,"　特工房でのみ使われる特殊な電子部品。
人形の性能を飛躍的に向上させる。",　Unique electronic component used only at the Special Workshop. Dramatically improves a mech's performance.,240,64,16,
opb/PartsDesc.opb,0x300e,0x1 0xa4c,鋼鉄チップ,Steel Chip,102,14,14,
opb/PartsDesc.opb,0x3019,0x1 0xa50,"耐久力＋６０
打撃、斬撃ダメージが２０％上昇
/c5※特工房の人形のみ装備可能/c3","Stamina +60
Striking, slashing damage increased by 20%
/c5* Equippable only by Special Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x3068,0x1 0xa54,"　特工房でのみ使われる特殊な電子部品。
人形の性能を飛躍的に向上させる。",　Unique electronic component used only at the Special Workshop. Dramatically improves a mech's performance.,240,64,16,
opb/PartsDesc.opb,0x30b1,0x1 0xa60,白銀チップ,Silver Chip,102,14,14,
opb/PartsDesc.opb,0x30bc,0x1 0xa64,"耐久力＋１００
打撃、斬撃ダメージが２5％上昇
/c5※特工房の人形のみ装備可能/c3","Stamina +100
Striking, slashing damage increased by 25%
/c5* Equippable only by Special Workshop mechs./c3",240,64,16,
opb/PartsDesc.opb,0x310d,0x1 0xa68,"　特工房でのみ使われる特殊な電子部品。
人形の性能を飛躍的に向上させる。",　Unique electronic component used only at the Special Workshop. Dramatically improves a mech's performance.,240,64,16,
opb/PartsDesc.opb,0x3156,0x1 0xa74,金剛チップ,Mythril Chip,102,14,14,
