File,Offset,Pointers,Japanese,English,width,height,lineheight,,
RoboDesc.opb,0x26bc,0x1 0x60c,ゴッドフリードＧ４,Godfried G4,-1,-1,16,,
RoboDesc.opb,0x26cf,0x1 0x610,ゴッドフリードＧ４,|Godfried G4,124,16,16,!,
RoboDesc.opb,0x26e2,0x1 0x61c,"　世界で初めての
搭乗型（人が乗る
タイプ）人形とし
て知られるゴッド
フリードの後継機。
　生産されたのは、
約４０年ほど前。
　今や動くだけで
せいいっぱいの人
形だが、特別な改
造を施され蘇った。","　The fourth generation successor to the original Godfried, which was known as the world's first boardable puppet. (Human pilot type). 
　It was created approximately 40 years ago.
　It's limbs used to require a lot of force to move, but it has now been restored and uniquely modified.",114,176,16,,
RoboDesc.opb,0x27ad,0x1 0x620,"　右上のレバーを
左右に動かすと、
腕を左右に振る。
　右下の歯車を回
すと、腕を上下に
動かす。
　隠されたボタン
（上）を押すと、
ミサイル発射。下
のボタンを押すと、
全身から放電。","  Upper-right lever: Swings the arms left and right.
  Lower-right gear: Moves the arms up and down.
  Hidden buttons: Top launches missiles. Bottom discharges electricity.",114,176,16,,
RoboDesc.opb,0x286a,0x1 0x638,ブルートラック,Blue Truck,-1,-1,16,,
RoboDesc.opb,0x2879,0x3 0x63c 0x648 0x64c,ブルートラック,|Blue Truck,124,16,16,,
RoboDesc.opb,0x2888,0x1 0x664,コマンドティーガー,Commando Tiger,-1,-1,16,,
RoboDesc.opb,0x289b,0x1 0x668,コマンドティーガー,|Commando Tiger,124,16,16,!,
RoboDesc.opb,0x28ae,0x2 0x674 0x678,"　ベルソン重工が
開発した世界初の
量産型マリオネー
ションギア。戦闘
に特化した軍事用
の人形だ。
　巨大な砲を搭載。
二足歩行により、
地形を選ばず戦闘
可能な汎用性の高
い兵器である。","　Bellson Industries' innovation, the world's first mass-produced Marionation Gear. A military mech specialised for combat.
　Equipped with a large gun, walking on two legs allows it to traverse and fight on any terrain, making it a highly versatile weapon.",114,176,16,,
RoboDesc.opb,0x296d,0x1 0x690,コマンドティーガーＪ,Commando Tiger J,-1,-1,16,,
RoboDesc.opb,0x2982,0x1 0x694,コマンドティーガーＪ,|Commando Tiger J,124,16,16,,
RoboDesc.opb,0x2997,0x2 0x6a0 0x6a4,"　司令官用として
特別に強化された
コマンドティーガ
ー。装甲が倍増し、
小さな砲弾なら弾
き返すほどになっ
ている。また、砲
の口径も大きくな
り、破壊力が増し
た。","　An enhanced Commando Tiger made especially for the commander. With double the standard amount of armour, it can resist damage from even small rounds. Additionally, it has been equipped with a higher calibre gun, increasing it's destructive power.",114,176,16,,
RoboDesc.opb,0x2a40,0x1 0x6bc,大砲人形パットン,Artillery Mech Patton,-1,-1,16,,
RoboDesc.opb,0x2a51,0x1 0x6c0,大砲人形パットン,|Artillery Mech Patton,124,16,16,! 76,
RoboDesc.opb,0x2a62,0x1 0x6cc,"　３連装砲を搭載
した武装人形。
　非常に戦闘的な
人形のため、せめ
て外見はかわいく、
という意図でデザ
インされている。
コマンドティーガ
ーのモデルになっ
たといわれている。
　製造は鉄工房。"," 　An artillery mech equipped with a 3-gun rotating turret.
　 Designed with the intention of appearing cute and unthreatening, it's true nature is an extraordinary fighting mech. It is said to have been the model which inspired the Commando Tigers.
　It was produced by the Iron Workshop.",114,176,16,,
RoboDesc.opb,0x2b29,0x1 0x6d0,"　ボタンを押すと、
砲を発射。
　ダイヤルを回す
と、砲塔を回転さ
せる。","  Buttons: Press to fire the cannons.
  Dial: Turn to rotate the turret.",114,176,16,,
RoboDesc.opb,0x2b74,0x1 0x6e8,アサルト人形ガルフ,Assault Mech Gulf,-1,-1,16,,
RoboDesc.opb,0x2b87,0x1 0x6ec,アサルト人形ガルフ,|Assault Mech Gulf,124,16,16,,
RoboDesc.opb,0x2b9a,0x1 0x6f8,"　/c5アサルトライフ
ル/c3を持つ人形。フ
ルオート射撃が可
能で、引き金を引
いている間、連射
を続ける。
　また、高い破壊
力を持つ大型ミサ
イル“/c5超兵器バル
チャー/c3”を搭載し
ている。","　A mech with an /c5Assault Rifle/c3 built-in. It is fully automatic, and will keep firing rapidly whilst the trigger is held down.
　In addition, it's equipped with highly destructive {/c5Super Weapon Vulture}, which are large guided missiles.",114,176,16,,
RoboDesc.opb,0x2c5d,0x1 0x6fc,"　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3","  When the bullets run out, a new cartridge will appear. You can shoot again once you put it in place.
  Button: Readies the Super Weapon. Push buttons 1-5 in order to fire.
/c7*Transformation Limit: 3/c3",114,176,16,,
RoboDesc.opb,0x2d24,0x1 0x714,アサルト人形ガルフＢ,Assault Mech Gulf-B,-1,-1,16,,
RoboDesc.opb,0x2d39,0x1 0x718,アサルト人形ガルフＢ,|Assault Mech Gulf-B,124,16,16,,
RoboDesc.opb,0x2d4e,0x1 0x724,"　アサルト人形の
強化型。アサルト
ライフルの破壊力
が向上し、手のつ
けられない強さと
なった。
　超兵器バルチャ
ーの爆破範囲も、
わずかに広がって
いる。","　An enhanced version of the Assault Mech. The destructive power of it's Assault Rifle has been improved, making it an even tougher foe to face.
　The blast radius of the Super Weapon Vulture has also been slightly expanded.",114,176,16,,
RoboDesc.opb,0x2def,0x1 0x728,"　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3","  When the bullets run out, a new cartridge will appear. You can shoot again once you put it in place.
  Button: Readies the Super Weapon. Push buttons 1-5 in order to fire.
/c7*Transformation Limit: 3/c3",114,176,16,,
RoboDesc.opb,0x2eb6,0x1 0x740,アサルト人形ガルフＸ,Assault Mech Gulf-X,-1,-1,16,,
RoboDesc.opb,0x2ecb,0x1 0x744,アサルト人形ガルフＸ,|Assault Mech Gulf-X,124,16,16,,
RoboDesc.opb,0x2ee0,0x1 0x750,"　アサルト人形の
最終形。その強さ
は、あらゆる人形
の中でも最高レベ
ル。",The final version of the Assault Mech. It's strength is of the highest standard seen amongst all mechs.,114,176,16,,
RoboDesc.opb,0x2f2d,0x1 0x754,"　弾がなくなると、
新たな弾丸カート
リッジが出現。そ
れをセットすると
再び射撃可能。
　ボタンを押すと、
超兵器の発射準備
に入る。１～５の
ボタンを順番に押
せば発射。
/c7※変形可能回数３/c3","  When the bullets run out, a new cartridge will appear. You can shoot again once you put it in place.
  Button: Readies the Super Weapon. Push buttons 1-5 in order to fire.
/c7*Transformation Limit: 3/c3",114,176,16,,
RoboDesc.opb,0x2ff4,0x1 0x76c,斧人形ギール,Axe Mech Gill,-1,-1,16,,
RoboDesc.opb,0x3001,0x1 0x770,斧人形ギール,|Axe Mech Gill,124,16,16,!,
RoboDesc.opb,0x300e,0x1 0x77c,"　/c5巨大な斧/c3を武器
とする人形。モン
スタートラックか
ら人型へと変形す
る。振り下ろしの
一撃は凄まじい破
壊力を持つ。斧を
回転させることで
/c5衝撃波/c3を発生させ、
遠距離の敵を攻撃
することも可能。",A mech equipped with an /c5enormous axe/c3 for a weapon. Transforms from a monster truck into a humanoid form. It's downwards strike has tremendous destructive power. Rotating the axe generates /c5shock waves/c3 allowing it to attack long distance targets.,114,176,16,,
RoboDesc.opb,0x30e1,0x1 0x780,"/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。","/c5Car/c3:
  Shift stick: Controls speed.
/c5Human Form/c3:
  Left lever: Lower and release to swing the axe.
  Spinner: Continually turn to unleash an air storm.",114,176,16,,
RoboDesc.opb,0x31ae,0x1 0x798,大斧人形ギール改,Greataxe Mech Nu-Gill,-1,-1,16,,
RoboDesc.opb,0x31bf,0x1 0x79c,大斧人形ギール改,|Greataxe Mech Nu-Gill,124,16,16,,
RoboDesc.opb,0x31d0,0x1 0x7a8,"　斧人形の強化型。
斧の破壊力が高ま
っただけでなく、
小型ミサイル・ス
パローホークの搭
載数が増え、扱い
やすい人形となっ
た。","　An enhanced version of the Axe Mech. Not only has the destructive power of the axe increased, but it has also been equipped with more small Sparrowhawk missiles, making this mech even easier to use.",114,176,16,,
RoboDesc.opb,0x3255,0x1 0x7ac,"/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。","/c5Car/c3:
  Shift stick: Controls speed.
/c5Human Form/c3:
  Left lever: Lower and release to swing the axe.
  Spinner: Continually turn to unleash an air storm.",114,176,16,,
RoboDesc.opb,0x3322,0x1 0x7c4,戦斧人形ダルギール,Battleaxe Mech Dalgill,-1,-1,16,,
RoboDesc.opb,0x3335,0x1 0x7c8,戦斧人形ダルギール,|Battleaxe Mech Dalgill,124,16,16,,
RoboDesc.opb,0x3348,0x1 0x7d4,"　斧人形の最終形。
斧の破壊力が極限
まで強化されてい
る。",The final version of the Axe Mech. The destructive power of it's axe has been maxed out.,114,176,16,,
RoboDesc.opb,0x3385,0x1 0x7d8,"/c5車/c3：シフトレバー
を左上に入れると
微速。左下は中速。
右上は高速。右下
はバック。
/c5人型/c3：左側のレバ
ーを下に下げると
斧を振り上げ、離
すと斬撃。回転レ
バーを回し続ける
とエアストーム。","/c5Car/c3:
  Shift stick: Controls speed.
/c5Human Form/c3:
  Left lever: Lower and release to swing the axe.
  Spinner: Continually turn to unleash an air storm.",114,176,16,,
RoboDesc.opb,0x3452,0x1 0x7f0,投刃人形ベルメラン,Knife Throwing Mech Belmerang,-1,-1,16,,
RoboDesc.opb,0x3465,0x1 0x7f4,投刃人形ベルメラン,|Knife Throwing Mech Belmerang,124,16,16,! ,(As in the sport of knife tossing)
RoboDesc.opb,0x3478,0x1 0x800,"　/c5ブーメラン/c3を武
器とする人形。/c5投
げる/c3こともでき、
剣のように/c5斬る/c3こ
とも可能。車形態
の性能も高い。
　冷却性能が低い
のが欠点で、それ
を補うために特別
な/c5冷却装置/c3が取り
付けられている。","　A mech with a weaponised /c5boomerang/c3. It can be thrown, but it's also possible to /c5slice through objects/c3 like a sword. It's car form has an equally high performance.
　However, it's poor cooling capacity puts it at a disadvantage, so it's been furnished with /c5special cooling equipment/c3 as compensation.  ",114,176,16,,
RoboDesc.opb,0x3553,0x1 0x804,"　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。","  Lower-left lever: Moves the arm. Move quickly from left to right to throw the boomerang.
  Spinner: Turn to attack continuously.
  Button: Press and hold to activate the cooling system.",114,176,16,,
RoboDesc.opb,0x3608,0x1 0x81c,投刃人形エルメラン,Knife Throwing Mech Elmerang,-1,-1,16,,
RoboDesc.opb,0x361b,0x1 0x820,投刃人形エルメラン,|Knife Throwing Mech Elmerang,124,16,16,,
RoboDesc.opb,0x362e,0x1 0x82c,"　投刃人形の強化
型。ブーメランの
破壊力が激増。中
距離では無敵の強
さを発揮する。
　ただし、冷却装
置の性能が微妙に
低下した。","　An enhanced version of the Knife Throwing Mech. The boomerang's destructive power has increased dramatically.
　However, the performance of the cooling system has fallen slightly.",114,176,16,,
RoboDesc.opb,0x36b5,0x1 0x830,"　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。","  Lower-left lever: Moves the arm. Move quickly from left to right to throw the boomerang.
  Spinner: Turn to attack continuously.
  Button: Press and hold to activate the cooling system.",114,176,16,,
RoboDesc.opb,0x376a,0x1 0x848,投刃人形ギルメラン,Knife Throwing Mech Gilmerang,-1,-1,16,,
RoboDesc.opb,0x377d,0x1 0x84c,投刃人形ギルメラン,|Knife Throwing Mech Gilmerang,124,16,16,,
RoboDesc.opb,0x3790,0x1 0x858,"　投刃人形の完成
形。ブーメランの
破壊力がさらに増
した。
　また、冷却装置
の性能も改善され
ている。","　The final version of the Knife Throwing Mech. The destructive power of the boomerang has been further improved.
　In addition, the performance of the cooling system has also been boosted.",114,176,16,,
RoboDesc.opb,0x37fb,0x1 0x85c,"　左下のレバーで
腕を動かす。レバ
ーを左から右端へ
と素早く動かすと
ブーメランを投げ
る。回転レバーで
連撃。
　ボタンを押し続
けると、冷却装置
が作動して温度が
低下する。","  Lower-left lever: Moves the arm. Move quickly from left to right to throw the boomerang.
  Spinner: Turn to attack continuously.
  Button: Press and hold to activate the cooling system.",114,176,16,,
RoboDesc.opb,0x38b0,0x1 0x874,人形重機ルクサー,HM Mech Luxer,-1,-1,16,,
RoboDesc.opb,0x38c1,0x1 0x878,人形重機ルクサー,|HM Mech Luxer,124,16,16,,
RoboDesc.opb,0x38d2,0x1 0x884,"　巨大な/c5ハンマー/c3
を武器とする人形。
　ミキサー車から
人型へと変形する。
　ハンマーの威力
は絶大で、一撃で
大きなダメージを
与えることができ
る。中型ロケット
弾/c5パンツァーショ
ット/c3を搭載。","　A mech armed with a huge /c5hammer/c3.
　Transforms from a mixer truck into a humanoid form.
　The hammer is tremendously powerful, and can do a great deal of damage in a single blow. It's equipped with /c5Panzer Shot/c3 rockets.",114,176,16,,
RoboDesc.opb,0x39a3,0x1 0x888,"/c5車/c3：コクピット右
のアクセルレバー
で加速／減速。ハ
ンドルで方向転換。
/c5人型/c3：コクピット
右側のレバーでハ
ンマーを振る。回
転レバーを回すと
十連突き。ボタン
でパンツァーショ
ット。","/c5Car/c3: Control speed with the right lever, and steer with the wheel.
/c5Human Form/c3:
  Right lever: Swings the hammer.
  Spinner: Thrusts the hammer.
  Button: Panzer Shot.",114,176,16,,
RoboDesc.opb,0x3a6c,0x1 0x8a0,人形重機ルクサー改,HM Mech Nu-Luxer,-1,-1,16,,
RoboDesc.opb,0x3a7f,0x1 0x8a4,人形重機ルクサー改,|HM Mech Nu-Luxer,124,16,16,,
RoboDesc.opb,0x3a92,0x1 0x8b0,"　ルクサーの強化
型。ハンマーの破
壊力が増し、さら
に強力な人形とな
った。","　An enhanced version of the Luxer. The destructive power of it's hammer has increased, making it an even stronger mech.",114,176,16,,
RoboDesc.opb,0x3ae1,0x1 0x8b4,"/c5車/c3：コクピット右
のアクセルレバー
で加速／減速。ハ
ンドルで方向転換。
/c5人型/c3：コクピット
右側のレバーでハ
ンマーを振る。回
転レバーを回すと
十連突き。ボタン
でパンツァーショ
ット。","/c5Car/c3: Control speed with the right lever, and steer with the wheel.
/c5Human Form/c3:
  Right lever: Swings the hammer.
  Spinner: Thrusts the hammer.
  Button: Panzer Shot.",114,176,16,,
RoboDesc.opb,0x3baa,0x1 0x8cc,人形重機ルクソーン,HM Mech Luxoun,-1,-1,16,,
RoboDesc.opb,0x3bbd,0x1 0x8d0,人形重機ルクソーン,|HM Mech Luxoun,124,16,16,,
RoboDesc.opb,0x3bd0,0x1 0x8dc,"　ルクサーの最終
形。ハンマーの威
力が極限まで高ま
り、恐ろしい破壊
力を持つようにな
った。","　The final version of the Luxer. The strength of it's hammer has been pushed to the limit, and it now possesses an almost startling destructive force. ",114,176,16,,
RoboDesc.opb,0x3c31,0x1 0x8e0,"/c5車/c3：コクピット右
のアクセルレバー
で加速／減速。ハ
ンドルで方向転換。
/c5人型/c3：コクピット
右側のレバーでハ
ンマーを振る。回
転レバーを回すと
十連突き。ボタン
でパンツァーショ
ット。","/c5Car/c3: Control speed with the right lever, and steer with the wheel.
/c5Human Form/c3:
  Right lever: Swings the hammer.
  Spinner: Thrusts the hammer.
  Button: Panzer Shot.",114,176,16,,
RoboDesc.opb,0x3cfa,0x1 0x8f8,ガンマン人形ボルトン,Gunman Mech Bolton,-1,-1,16,,
RoboDesc.opb,0x3d0f,0x1 0x8fc,ガンマン人形ボルトン,|Gunman Mech Bolton,124,16,16,,
RoboDesc.opb,0x3d24,0x1 0x908,"　/c5拳銃/c3を武器とす
るガンマン人形。
/c5※銃は弓より高い
破壊力を持つ。/c3
　拳銃は構造が単
純なリボルバー式
のため、整備が容
易におこなえるの
も特徴。/c5超兵器・
神鉄弾/c3を搭載。","　A Gunman Mech armed with a /c5handgun/c3.
　/c7*The gun has more destructive power than a bow./c3
　As the handgun is simply constructed revolver, it doesn't require complex maintenance. It's equipped with the /c5Super Weapon Godrion Bullets/c3",114,176,16,,
RoboDesc.opb,0x3de5,0x1 0x90c,"　弾丸をシリンダ
ーに詰め、ゲキテ
ツを左に引き、引
き金を引くと発射。
　右上にはフタの
ついた特殊弾丸ス
トックがある。指
でフタをあけて、
中の神鉄弾を取り
出すことができる。","  Place a bullet in the cylinder, pull the hammer to the left, and pull the trigger to fire.
  Under the upper-right lid is a stock of special bullets. Open it to access the Godrion Bullet inside.",114,176,16,,
RoboDesc.opb,0x3e9c,0x1 0x924,ガンマン人形ボルヴァ,Gunman Mech Bolva,-1,-1,16,,
RoboDesc.opb,0x3eb1,0x1 0x928,ガンマン人形ボルヴァ,|Gunman Mech Bolva,124,16,16,,
RoboDesc.opb,0x3ec6,0x1 0x934,"　ガンマン人形の
改良型。基本性能
が向上しただけで
なく、超兵器・神
鉄弾の搭載数が倍
増している。","　An enhanced version of the Gunman Mech. Not only has it's basic performance been improved, but the number of Super Weapon Godrion Bullets have also been doubled.",114,176,16,,
RoboDesc.opb,0x3f2d,0x1 0x938,"　弾丸をシリンダ
ーに詰め、ゲキテ
ツを左に引き、引
き金を引くと発射。
　右上にはフタの
ついた特殊弾丸ス
トックがある。指
でフタをあけて、
中の神鉄弾を取り
出すことができる。","  Place a bullet in the cylinder, pull the hammer to the left, and pull the trigger to fire.
  Under the upper-right lid is a stock of special bullets. Open it to access the Godrion Bullet inside.",114,176,16,,
RoboDesc.opb,0x3fe4,0x1 0x950,ガンマン人形ボルザー,Gunman Mech Bolzer,-1,-1,16,,
RoboDesc.opb,0x3ff9,0x1 0x954,ガンマン人形ボルザー,|Gunman Mech Bolzer,124,16,16,,
RoboDesc.opb,0x400e,0x1 0x960,"　ガンマン人形の
最終形。攻撃力が
大きく増加しただ
けでなく、超兵器
神鉄弾の爆破範囲
が広がっている。","　The final version of the Gunman Mech. It's attack power has been greatly improved, and the blast radius of Super Weapon Godrion Bullets has been further expanded.",114,176,16,,
RoboDesc.opb,0x4079,0x1 0x964,"　弾丸をシリンダ
ーに詰め、ゲキテ
ツを左に引き、引
き金を引くと発射。
　右上にはフタの
ついた特殊弾丸ス
トックがある。指
でフタをあけて、
中の神鉄弾を取り
出すことができる。","  Place a bullet in the cylinder, pull the hammer to the left, and pull the trigger to fire.
  Under the upper-right lid is a stock of special bullets. Open it to access the Godrion Bullet inside.",114,176,16,,
RoboDesc.opb,0x4130,0x1 0x97c,長槍人形ハーキン,Lancer Mech Halkin,-1,-1,16,,
RoboDesc.opb,0x4141,0x1 0x980,長槍人形ハーキン,|Lancer Mech Halkin,124,16,16,!,
RoboDesc.opb,0x4152,0x1 0x98c,"　孤高の侍“十文
字禅岳”の協力に
よって完成した輪
工房最強の人形。
/c5長槍/c3を武器とし、
接近戦では圧倒的
な強さを誇る。ボ
ディーは軽量で、
動きも速い。","　The Wheel Workshop's strongest mech, completed in collaboration with the aloof samurai, {Zengaku Cross}. Armed with a /c5long lance/c3, it boast of overwhelming strength in close combat. A lightweight body enables it to move swiftly.",114,176,16,,
RoboDesc.opb,0x41f5,0x1 0x990,"/c5車/c3：アクセルレバ
ーを上に倒すと加
速。下で減速。ハ
ンドルで方向転換。
/c5人型/c3：十文字型レ
バーで槍を振る。
回転レバーを回す
と広範囲をなぎ払
う槍風車。ボタン
でスピナーショッ
ト。","/c5Car/c3:
  The lever controls speed, and the wheel steers.
/c5Human Form/c3:
  Cross lever: Swings the lance.
  Spinner: Spins the lance.
  Button: Spinner Shot.",114,176,16,,
RoboDesc.opb,0x42bc,0x1 0x9a8,魔槍人形ハーデン,Demonic Lancer Mech Halden,-1,-1,16,,
RoboDesc.opb,0x42cd,0x1 0x9ac,魔槍人形ハーデン,|Demonic Lancer Mech Halden,124,16,16,,
RoboDesc.opb,0x42de,0x1 0x9b8,"　長槍人形の改良
型。槍の破壊力が
増しただけでなく、
スピナーショット
も強化された。
　槍風車の熱上昇
率がほんの少しだ
け抑えられている。","　An enhanced version of the Lancer Mech. Not only has it's destructive power increased, but the Spinner Shots have also been upgraded. 
　The heat generated by spinning the lance has been suppressed only slightly.",114,176,16,,
RoboDesc.opb,0x436f,0x1 0x9bc,"/c5車/c3：アクセルレバ
ーを上に倒すと加
速。下で減速。ハ
ンドルで方向転換。
/c5人型/c3：十文字型レ
バーで槍を振る。
回転レバーを回す
と広範囲をなぎ払
う槍風車。ボタン
でスピナーショッ
ト。","/c5Car/c3:
  The lever controls speed, and the wheel steers.
/c5Human Form/c3:
  Cross lever: Swings the lance.
  Spinner: Spins the lance.
  Button: Spinner Shot.",114,176,16,,
RoboDesc.opb,0x4436,0x1 0x9d4,神槍人形ハダン,Divine Lancer Mech Hadan,-1,-1,16,,
RoboDesc.opb,0x4445,0x1 0x9d8,神槍人形ハダン,|Divine Lancer Mech Hadan,124,16,16,,
